Type,Diam_cm,Material,X,Y,Z
0,0.0,0,633854.1432050908,3475459.3823947036,0.0
0,0.0,0,633853.8896991125,3475352.623471598,0.0
0,0.0,0,633857.6191845553,3475299.273361021,0.0
0,0.0,0,633903.7053820386,3475298.0151025066,0.0
0,0.0,0,633894.7099938222,3475277.082001958,0.0
0,0.0,0,633900.7063870183,3475323.9408118413,0.0
0,0.0,0,633900.4257340357,3475343.565276937,0.0
0,0.0,0,633900.4590329767,3475342.506400728,0.0
0,0.0,0,633899.5858406227,3475353.829118861,0.0
1,51.0,1,633894.5749624206,3475356.9276072723,0.0
2,0.0,0,633897.3209365426,3475358.4957246394,0.0
0,0.0,0,633897.8193959433,3475368.7134577343,0.0
0,0.0,0,633897.322536799,3475369.117993498,0.0
0,0.0,0,633898.0386379177,3475393.0766596105,0.0
0,0.0,0,633895.8741396839,3475403.4011737527,0.0
0,0.0,0,633884.5202865691,3475416.548166578,0.0
0,0.0,0,633855.0028418599,3475445.466126456,0.0
0,0.0,0,633848.8954897709,3475457.5683951727,0.0
0,0.0,0,633945.185510481,3475351.491842423,0.0
0,0.0,0,633956.1106380941,3475408.935112756,0.0
0,0.0,0,633958.6416237671,3475412.1598104066,0.0
0,0.0,0,633958.8091299845,3475408.488165807,0.0
0,0.0,0,633953.355325762,3475348.553038982,0.0
0,0.0,0,633953.6702399722,3475347.5690049753,0.0
0,0.0,0,633951.6670217749,3475348.598041062,0.0
0,0.0,0,633964.6030294577,3475356.440270291,0.0
0,0.0,0,633960.7800417859,3475359.4606219055,0.0
0,0.0,0,633964.2602739928,3475337.8858367545,0.0
0,0.0,0,633954.7830622533,3475340.1073702346,0.0
0,0.0,0,633945.179804722,3475351.870370821,0.0
0,0.0,0,633936.890967404,3475339.7090636618,0.0
0,0.0,0,633933.3013775843,3475348.2860682127,0.0
0,0.0,0,633968.7162372759,3475326.3025095756,0.0
0,0.0,0,633996.3992260521,3475307.3394879587,0.0
0,0.0,0,633908.5711812885,3475453.7083823727,-1.96480000000156
0,65.0,2,633858.5997796578,3475604.305997126,0.0
0,56.0,2,633858.5059144972,3475609.686515887,0.0
